url,count,array_agg,array_agg
http://archive.sclqld.org.au/qjudgment/1999/QCA99-108.pdf,2,"{ch_identification,ch_identification}","{Chapter 4.25 Identification.docx,Chapter 4.25 Identification.docx}"
http://archive.sclqld.org.au/qjudgment/2000/QCA00-211.pdf,2,"{ch_bad_character_convictions,ch_bad_character_convictions}","{Chapter 4.17 Bad Character—Previous Convictions.docx,Chapter 4.17 Bad Character—Previous Convictions.docx}"
http://archive.sclqld.org.au/qjudgment/2000/QCA00-347.pdf,2,"{ch_parties_to_offence,ch_parties_to_offence}","{Chapter 7.3 Parties to an offence.docx,Chapter 7.3 Parties to an offence.docx}"
http://archive.sclqld.org.au/qjudgment/2000/QCA00-393.pdf,4,"{ch_parties_to_offence,ch_parties_to_offence,ch_parties_to_offence,ch_parties_to_offence}","{Chapter 7.3 Parties to an offence.docx,Chapter 7.3 Parties to an offence.docx,Chapter 7.3 Parties to an offence.docx,Chapter 7.3 Parties to an offence.docx}"
http://archive.sclqld.org.au/qjudgment/2001/QCA01-105.pdf,4,"{ch_parties_to_offence,ch_parties_to_offence,ch_parties_to_offence,ch_parties_to_offence}","{Chapter 7.3 Parties to an offence.docx,Chapter 7.3 Parties to an offence.docx,Chapter 7.3 Parties to an offence.docx,Chapter 7.3 Parties to an offence.docx}"
http://archive.sclqld.org.au/qjudgment/2001/QCA01-183.pdf,2,"{ch_alternative_charges,ch_alternative_charges}","{Chapter 3.3 Alternative Charges.docx,Chapter 3.3 Alternative Charges.docx}"
http://archive.sclqld.org.au/qjudgment/2001/QCA01-193.pdf,2,"{ch_lies_told_defendant,ch_lies_told_defendant}","{Chapter 4.15 - Lies-Told-By-The-Defendant.docx,Chapter 4.15 - Lies-Told-By-The-Defendant.docx}"
http://archive.sclqld.org.au/qjudgment/2001/QCA01-272.pdf,2,"{ch_lies_told_defendant,ch_lies_told_defendant}","{Chapter 4.15 - Lies-Told-By-The-Defendant.docx,Chapter 4.15 - Lies-Told-By-The-Defendant.docx}"
http://archive.sclqld.org.au/qjudgment/2001/QCA01-309.pdf,2,"{ch_lies_told_defendant,ch_lies_told_defendant}","{Chapter 4.15 - Lies-Told-By-The-Defendant.docx,Chapter 4.15 - Lies-Told-By-The-Defendant.docx}"
http://archive.sclqld.org.au/qjudgment/2001/QCA01-390.pdf,2,"{ch_good_character,ch_good_character}","{Chapter 4.16 Good Character.docx,Chapter 4.16 Good Character.docx}"
http://archive.sclqld.org.au/qjudgment/2002/QCA02-360.pdf,2,"{ch_self_defence_unprovoked_assault,ch_self_defence_unprovoked_assault}","{Chapter 17.19 Self-Defence Against Unprovoked Assault s 271(1).docx,Chapter 17.19 Self-Defence Against Unprovoked Assault s 271(1).docx}"
http://archive.sclqld.org.au/qjudgment/2002/QCA02-442.pdf,2,"{ch_intention,ch_intention}","{Chapter 8.1 Intention.docx,Chapter 8.1 Intention.docx}"
http://archive.sclqld.org.au/qjudgment/2003/QCA03-246.pdf,2,"{ch_intentional_intoxication,ch_intentional_intoxication}","{Chapter 17.3 Intentional Intoxication.docx,Chapter 17.3 Intentional Intoxication.docx}"
http://archive.sclqld.org.au/qjudgment/2003/QCA03-356.pdf,2,"{ch_drug_possession,ch_drug_possession}","{Chapter 14.1 Drugs Possession Drugs Misuse Act.docx,Chapter 14.1 Drugs Possession Drugs Misuse Act.docx}"
http://archive.sclqld.org.au/qjudgment/2003/QCA03-431.pdf,2,"{ch_intentional_intoxication,ch_intentional_intoxication}","{Chapter 17.3 Intentional Intoxication.docx,Chapter 17.3 Intentional Intoxication.docx}"
http://archive.sclqld.org.au/qjudgment/2003/QCA03-567.pdf,2,"{ch_dangerous_vehicle_operation,ch_dangerous_vehicle_operation}","{Chapter 10.16 Dangerous Operation of a Motor Vehicle.docx,Chapter 10.16 Dangerous Operation of a Motor Vehicle.docx}"
http://archive.sclqld.org.au/qjudgment/2004/QCA04-018.pdf,2,"{ch_parties_to_offence,ch_parties_to_offence}","{Chapter 7.3 Parties to an offence.docx,Chapter 7.3 Parties to an offence.docx}"
http://archive.sclqld.org.au/qjudgment/2004/QCA04-099.pdf,2,"{ch_alternative_charges,ch_alternative_charges}","{Chapter 3.3 Alternative Charges.docx,Chapter 3.3 Alternative Charges.docx}"
http://archive.sclqld.org.au/qjudgment/2004/QCA04-219.pdf,2,"{ch_unrepresented_defendant,ch_unrepresented_defendant}","{Chapter 2.4 Unrepresented Defendant.docx,Chapter 2.4 Unrepresented Defendant.docx}"
http://archive.sclqld.org.au/qjudgment/2004/QCA04-393.pdf,2,"{ch_no_adverse_inference,ch_no_adverse_inference}","{""Chapter 4.3 Defendant Not Giving Evidence, Where No Adverse Inference.docx"",""Chapter 4.3 Defendant Not Giving Evidence, Where No Adverse Inference.docx""}"
http://archive.sclqld.org.au/qjudgment/2004/QCA04-419.pdf,2,"{ch_no_adverse_inference,ch_no_adverse_inference}","{""Chapter 4.3 Defendant Not Giving Evidence, Where No Adverse Inference.docx"",""Chapter 4.3 Defendant Not Giving Evidence, Where No Adverse Inference.docx""}"
http://archive.sclqld.org.au/qjudgment/2004/QCA04-481.pdf,2,"{ch_distressed_condition,ch_distressed_condition}","{Chapter 5.2 Distressed Condition.docx,Chapter 5.2 Distressed Condition.docx}"
http://archive.sclqld.org.au/qjudgment/2005/QCA05-097.pdf,2,"{ch_sexual_assault,ch_sexual_assault}","{Chapter 11.4 Sexual Assault.docx,Chapter 11.4 Sexual Assault.docx}"
http://archive.sclqld.org.au/qjudgment/2005/QCA05-103.pdf,2,"{ch_drug_trafficking,ch_drug_trafficking}","{Chapter 14.2 Trafficking in a Dangerous Drug.docx,Chapter 14.2 Trafficking in a Dangerous Drug.docx}"
http://archive.sclqld.org.au/qjudgment/2005/QCA05-138.pdf,4,"{ch_accident,ch_accident,ch_accident,ch_accident}","{Chapter 17.7 Accident s 23(1)(b).docx,Chapter 17.7 Accident s 23(1)(b).docx,Chapter 17.7 Accident s 23(1)(b).docx,Chapter 17.7 Accident s 23(1)(b).docx}"
http://archive.sclqld.org.au/qjudgment/2005/QCA05-369.pdf,2,"{ch_damaging_evidence,ch_damaging_evidence}","{Chapter 15.3 Damaging Evidence with Intent s 129.docx,Chapter 15.3 Damaging Evidence with Intent s 129.docx}"
http://archive.sclqld.org.au/qjudgment/2006/QCA06-079.pdf,2,"{ch_evidence_affected_children,ch_evidence_affected_children}","{Chapter 2.11 Evidence of Affected Children.docx,Chapter 2.11 Evidence of Affected Children.docx}"
