page_no,link_text,link_destination,link_domain,is_jade_link,is_sublink
129,[2017]HCA36,https://www.hcourt.gov.au/sites/default/files/eresources/2017/HCA/36.pdf,hcourt,FALSE,FALSE
131,[2001]QCA183,http://archive.sclqld.org.au/qjudgment/2001/QCA01-183.pdf,sclqld,FALSE,FALSE
131,[2002]HCA20,https://www.hcourt.gov.au/sites/default/files/eresources/2002/HCA/20.pdf,hcourt,FALSE,FALSE
131,[2004]QCA99,http://archive.sclqld.org.au/qjudgment/2004/QCA04-099.pdf,sclqld,FALSE,FALSE
132,[2020]QCA37,https://archive.sclqld.org.au/qjudgment/2020/QCA20-037.pdf,sclqld,FALSE,FALSE
132,[2003]HCA29,https://www.hcourt.gov.au/sites/default/files/eresources/2003/HCA/29.pdf,hcourt,FALSE,FALSE
134,[2005]HCA65,https://www.hcourt.gov.au/sites/default/files/eresources/2005/HCA/65.pdf,hcourt,FALSE,FALSE
134,[2005]HCA34,https://www.hcourt.gov.au/sites/default/files/eresources/2005/HCA/34.pdf,hcourt,FALSE,FALSE
134,[2002]HCA26,https://www.hcourt.gov.au/sites/default/files/eresources/2002/HCA/26.pdf,hcourt,FALSE,FALSE
144,[2015]HCA27,https://www.hcourt.gov.au/sites/default/files/eresources/2015/HCA/27.pdf,hcourt,FALSE,FALSE
144,[2012]QCA167,http://archive.sclqld.org.au/qjudgment/2012/QCA12-167.pdf,sclqld,FALSE,FALSE
144,[2012]QCA167,http://archive.sclqld.org.au/qjudgment/2012/QCA12-167.pdf,sclqld,FALSE,FALSE
150,[1996]QCA405,http://archive.sclqld.org.au/qjudgment/1996/QCA96-405.pdf,sclqld,FALSE,FALSE
150,[1996]QCA405,http://archive.sclqld.org.au/qjudgment/1996/QCA96-405.pdf,sclqld,FALSE,FALSE
152,[2019]HCA48,https://www.hcourt.gov.au/sites/default/files/eresources/2019/HCA/48.pdf,hcourt,FALSE,FALSE
152,[2001]HCA25,https://www.hcourt.gov.au/sites/default/files/eresources/2001/HCA/25.pdf,hcourt,FALSE,FALSE
152,[2014]QCA132,http://archive.sclqld.org.au/qjudgment/2014/QCA14-132.pdf,sclqld,FALSE,FALSE
153,[2006]QCA158,http://archive.sclqld.org.au/qjudgment/2006/QCA06-158.pdf,sclqld,FALSE,FALSE
153,[2008]QCA412,http://archive.sclqld.org.au/qjudgment/2008/QCA08-412.pdf,sclqld,FALSE,FALSE
155,[2001]HCA25,https://www.hcourt.gov.au/sites/default/files/eresources/2001/HCA/25.pdf,hcourt,FALSE,FALSE
155,[2014]QCA132,http://archive.sclqld.org.au/qjudgment/2014/QCA14-132.pdf,sclqld,FALSE,FALSE
155,[2004]QCA419,http://archive.sclqld.org.au/qjudgment/2004/QCA04-419.pdf,sclqld,FALSE,FALSE
155,[2004]QCA393,http://archive.sclqld.org.au/qjudgment/2004/QCA04-393.pdf,sclqld,FALSE,FALSE
172,[2006]QCA220,http://archive.sclqld.org.au/qjudgment/2006/QCA06-220.pdf,sclqld,FALSE,FALSE
173,[2021]HCA36,https://www.hcourt.gov.au/sites/default/files/eresources/2021/HCA/36.pdf,hcourt,FALSE,FALSE
173,[2021]HCA36,https://www.hcourt.gov.au/sites/default/files/eresources/2021/HCA/36.pdf,hcourt,FALSE,FALSE
178,[2020]HCA23,https://www.hcourt.gov.au/sites/default/files/eresources/2020/HCA/23.pdf,hcourt,FALSE,FALSE
180,[1999]HCA42,https://www.hcourt.gov.au/sites/default/files/eresources/2025-10-30/HCA/Robinson%20v%20The%20Queen%20%28B59-1998%29%20%5B1999%5D%20HCA%2042.pdf,hcourt,FALSE,FALSE
183,[1994]QCA476,http://archive.sclqld.org.au/qjudgment/1994/QCA94-476.pdf,sclqld,FALSE,FALSE
186,[2007]QCA383,http://archive.sclqld.org.au/qjudgment/2007/QCA07-383.pdf,sclqld,FALSE,FALSE
188,[2016]HCA35,https://www.hcourt.gov.au/sites/default/files/eresources/2016/HCA/35.pdf,hcourt,FALSE,FALSE
188,[2016]HCA35,https://www.hcourt.gov.au/sites/default/files/eresources/2016/HCA/35.pdf,hcourt,FALSE,FALSE
188,[2016]HCA35,https://www.hcourt.gov.au/sites/default/files/eresources/2016/HCA/35.pdf,hcourt,FALSE,FALSE
188,[2007]QCA66,http://archive.sclqld.org.au/qjudgment/2007/QCA07-066.pdf,sclqld,FALSE,FALSE
188,[2015]QCA167,http://archive.sclqld.org.au/qjudgment/2015/QCA15-167.pdf,sclqld,FALSE,FALSE
188,[2016]QCA27,http://archive.sclqld.org.au/qjudgment/2016/QCA16-027.pdf,sclqld,FALSE,FALSE
189,[1998]HCA21,https://www.hcourt.gov.au/sites/default/files/eresources/2025-10-23/HCA/Gipp%20v%20The%20Queen%20%28B4-1998%29%20%5B1998%5D%20HCA%2021.pdf,hcourt,FALSE,FALSE
