ch,link_text,link_destination,domain,is_sublink
10.1,(2013) 232 A Crim R 74,https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=2030988451&pubNum=5341&originatingDoc=Icc9f2720898811e8aca5bab3c9b3f468&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=bbbcd2b610f8427c8d0e060bc1638467&contextData=(sc.Default)&comp=wlau,anzlaw.thomsonreuters.com,False
10.1,[1969] SASR 205,https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=1969081475&pubNum=4840&originatingDoc=Ib4af825088fb11e8aca5bab3c9b3f468&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=fca02bdac6884c39b0a7894e7f0ed465&contextData=(sc.Default)&comp=wlau,anzlaw.thomsonreuters.com,False
10.1,[2012] QCA 265,https://archive.sclqld.org.au/qjudgment/2012/QCA12-265.pdf,archive.sclqld.org.au,False
10.1,[2015] QCA 277,https://www.queenslandjudgments.com.au/case-download/id/90625,queenslandjudgments.com.au,False
10.1,[1911] St R Qd 206,https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=1911038558&pubNum=4825&originatingDoc=If7cf9a0088c611e8aca5bab3c9b3f468&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=47e75e6898004eea9884f4d0d0bf5abf&contextData=(sc.Default)&comp=wlau,anzlaw.thomsonreuters.com,False
10.1,[1991] 2 Qd R 309,https://www.queenslandjudgments.com.au/case-download/id/503393,queenslandjudgments.com.au,False
10.1,[1997] QCA 355,https://archive.sclqld.org.au/qjudgment/1997/QCA97-355.pdf,archive.sclqld.org.au,False
10.1,[2012] QCA 258,https://www.queenslandjudgments.com.au/case-download/id/78402,queenslandjudgments.com.au,False
10.10,[1996] QCA 256,http://archive.sclqld.org.au/qjudgment/1996/QCA96-256.pdf,archive.sclqld.org.au,False
10.10,[2002] QCA 357,https://www.sclqld.org.au/caselaw/48219,sclqld.org.au,False
10.11,[1996] QCA 256,http://archive.sclqld.org.au/qjudgment/1996/QCA96-256.pdf,archive.sclqld.org.au,False
10.11,25 QJPR 81,https://anzlaw.thomsonreuters.com/Document/Ief54513088c711e8aca5bab3c9b3f468/View/FullText.html?transitionType=Default&contextData=(sc.Default)&VR=3.0&RS=cblt1.0,anzlaw.thomsonreuters.com,False
10.11,[1996] QCA 93,https://www.queenslandjudgments.com.au/caselaw/qca/1996/93,queenslandjudgments.com.au,False
10.12,[1978] Qd R 151,https://www.queenslandjudgments.com.au/case/id/501925,queenslandjudgments.com.au,False
10.12,[1997] 1 Qd R 623,https://www.queenslandjudgments.com.au/case/id/507343,queenslandjudgments.com.au,False
10.13,[1978] Qd R 151,https://www.queenslandjudgments.com.au/case/id/501925,queenslandjudgments.com.au,False
10.13,[1978] Qd R 151,https://www.queenslandjudgments.com.au/case/id/501925,queenslandjudgments.com.au,False
10.15,(1880) 5 QBD 307,https://www.iclr.co.uk/document/1881000524/casereport_15222/html,iclr.co.uk,False
10.15,[1981] 2 All ER 833,https://plus.lexis.com/apac/document/onecase/?pdmfid=1539278&crid=87003b32-5bb4-4a06-aa53-25343c92c7cd&pddocfullpath=%2Fshared%2Fdocument%2Fcases-uk%2Furn:contentItem:4CSP-3KT0-TWP1-6076-00000-00&pdcontentcomponentid=274668&pdteaserkey=cr1&ecomp=g75k&earg=cr1&prid=76423a24-b384-4abc-ae62-ef0b18b0f17e,plus.lexis.com,False
10.15,(1981) 73 Cr App R 49,https://a.next.westlaw.com/Document/I56CA3C50E42811DA8FC2A0F0355337E9/View/FullText.html?navigationPath=Search%2Fv3%2Fsearch%2Fresults%2Fnavigation%2Fi0ad604020000015359c553404263ce2a%3FNav%3DINTERNATIONAL-CASES%26fragmentIdentifier%3DI56CA3C50E42811DA8FC2A0F0355337E9%26startIndex%3D1%26contextData%3D%2528sc.Search%2529%26transitionType%3DSearchItem&listSource=Search&listPageSource=39a99cb5c35e44667952483728a608f2&list=INTERNATIONAL-CASES&rank=1&grading=na&sessionScopeId=ed11f484f99f0961f5b4396d7d076c69&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Search%29,a.next.westlaw.com,False
10.16,[1999] QCA 392,https://www.queenslandjudgments.com.au/caselaw/qca/1999/392,queenslandjudgments.com.au,False
10.16,(2012) 245 CLR 588,https://anzlaw.thomsonreuters.com/Document/I6929788087c611e8aca5bab3c9b3f468/View/FullText.html?transitionType=Default&contextData=(sc.Default)&VR=3.0&RS=cblt1.0,anzlaw.thomsonreuters.com,False
10.16,(2012) 245 CLR 588; [2012] HCA 24,https://jade.io/article/267005,jade.io,True
10.16,gerous (R v Jiminez (1992) 173 CLR 572,https://jade.io/article/67673,jade.io,False
10.16,McBride v The Queen (1966) 115 CLR 44,https://jade.io/article/65903,jade.io,False
