link_id,page_no,link_text,surrounding_text,link_destination,link_domain,jade_link,instrument_title,section_name,legislation_top_link
2884,424,Section 245–Definition,Legislation [Last reviewed: October 2024] Criminal Code Section 340–Serious assaults Section 245–Definition of assault Section 246–Assaults unlawful 10.3.2 Commentary [Last reviewed: October,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009,qld,,Criminal Code Act 1899 (QLD),Section 245,https://jade.io/article/529633
2885,424,Section 246–Assaults,2024] Criminal Code Section 340–Serious assaults Section 245–Definition of assault Section 246–Assaults unlawful 10.3.2 Commentary [Last reviewed: October 2024] The defendant must,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009,qld,,Criminal Code Act 1899 (QLD),Section 246,https://jade.io/article/529633
2901,428,Section 317–Acts,s 317 10.4.1 Legislation [Last reviewed: December 2024] Criminal Code Section 317–Acts intended to cause grievous bodily harm and other malicious acts,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009,qld,,Criminal Code Act 1899 (QLD),Section 317,https://jade.io/article/529633
2919,434,Section 320–Grievous,s 320 10.5.1 Legislation [Last reviewed: November 2024] Criminal Code Section 320–Grievous bodily harm Section 1–Definition of ‘grievous bodily harm’ 10.5.2 Commentary,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009,qld,,Criminal Code Act 1899 (QLD),Section 320,https://jade.io/article/529633
2920,434,Section 1–Definition,[Last reviewed: November 2024] Criminal Code Section 320–Grievous bodily harm Section 1–Definition of ‘grievous bodily harm’ 10.5.2 Commentary [Last reviewed: November 2024],https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009,qld,,Criminal Code Act 1899 (QLD),Section 1,https://jade.io/article/529633
2944,438,Section 320A,s 320A 10.6.1 Legislation [Last reviewed: October 2025] Criminal Code Section 320A –Torture 10.6.2 Commentary [Last reviewed: October 2025] The defendant must,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009,qld,,Criminal Code Act 1899 (QLD),Section 320A,https://jade.io/article/529633
2945,438,320A –Torture,320A 10.6.1 Legislation [Last reviewed: October 2025] Criminal Code Section 320A –Torture 10.6.2 Commentary [Last reviewed: October 2025] The defendant must have:,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009,qld,,Criminal Code Act 1899 (QLD),320A,https://jade.io/article/529633
2961,441,Section 323–Wounding,s 323 10.7.1 Legislation [Last reviewed: February 2025] Criminal Code Section 323–Wounding 10.7.2 Commentary [Last reviewed: February 2025] The defendant must have:,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009,qld,,Criminal Code Act 1899 (QLD),Section 323,https://jade.io/article/529633
2969,443,Section 315A,"s 315A 10.8.1 Legislation [Last reviewed: February 2025] Criminal Code Section 315A - Choking, suffocation or strangulation in a domestic setting 10.8.2",https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009,qld,,Criminal Code Act 1899 (QLD),Section 315A,https://jade.io/article/529633
2993,447,Section 364–Cruelty,s 364 10.9.1 Legislation [Last reviewed: September 2024] Criminal Code Section 364–Cruelty to children under 16 10.9.2 Commentary [Last reviewed: September 2024],https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009,qld,,Criminal Code Act 1899 (QLD),Section 364,https://jade.io/article/529633
